year;week;manual_value;modality;type_modality
2021;52;0;MRT;U2
2022;1;2;MRT;U2
2022;2;9;MRT;U2
2022;3;14;MRT;U2
2022;4;7;MRT;U2
2022;5;6;MRT;U2
2022;6;5;MRT;U2
2022;7;7;MRT;U2
2022;8;3;MRT;U2
2022;9;7;MRT;U2
2022;10;5;MRT;U2
2022;11;11;MRT;U2
2022;12;7;MRT;U2
2022;13;8;MRT;U2
2022;14;12;MRT;U2
2022;15;7;MRT;U2
2022;16;5;MRT;U2
2022;17;10;MRT;U2
2022;18;3;MRT;U2
2022;19;6;MRT;U2
2022;20;11;MRT;U2
2022;21;6;MRT;U2
2022;22;10;MRT;U2
2022;23;10;MRT;U2
2022;24;7;MRT;U2
2022;25;8;MRT;U2
2022;26;4;MRT;U2
2022;27;9;MRT;U2
2022;28;14;MRT;U2
2022;29;9;MRT;U2
2022;30;6;MRT;U2
2022;31;13;MRT;U2
2022;32;7;MRT;U2
2022;33;7;MRT;U2
2022;34;8;MRT;U2
2022;35;7;MRT;U2
2022;36;4;MRT;U2
2022;37;3;MRT;U2
2022;38;5;MRT;U2
2022;39;8;MRT;U2
2022;40;4;MRT;U2
2022;41;7;MRT;U2
2022;42;7;MRT;U2
2022;43;7;MRT;U2
2022;44;7;MRT;U2
2022;45;8;MRT;U2
2022;46;9;MRT;U2
2022;47;9;MRT;U2
2022;48;2;MRT;U2
2022;49;4;MRT;U2
2022;50;1;MRT;U2
2022;51;6;MRT;U2
2022;52;1;MRT;U2
2023;1;;MRT;U2
2023;2;6;MRT;U2
2023;3;6;MRT;U2
2023;4;6;MRT;U2
2023;5;4;MRT;U2
2023;6;3;MRT;U2
2023;7;9;MRT;U2
2023;8;8;MRT;U2
2023;9;7;MRT;U2
2023;10;5;MRT;U2
2023;11;4;MRT;U2
2023;12;7;MRT;U2
2023;13;4;MRT;U2
2023;14;10;MRT;U2
2023;15;5;MRT;U2
2023;16;10;MRT;U2
2023;17;6;MRT;U2
2023;18;9;MRT;U2
2023;19;15;MRT;U2
2023;20;8;MRT;U2
2023;21;7;MRT;U2
2023;22;4;MRT;U2
2023;23;12;MRT;U2
2023;24;9;MRT;U2
2023;25;6;MRT;U2
2023;26;6;MRT;U2
2023;27;9;MRT;U2
2023;28;6;MRT;U2
2023;29;9;MRT;U2
2023;30;5;MRT;U2
2023;31;18;MRT;U2
2023;32;11;MRT;U2
2023;33;14;MRT;U2
2023;34;16;MRT;U2
2023;35;15;MRT;U2
2023;36;11;MRT;U2
2023;37;8;MRT;U2
2023;38;17;MRT;U2
2023;39;10;MRT;U2
2023;40;9;MRT;U2
2023;41;15;MRT;U2
2023;42;16;MRT;U2
2023;43;17;MRT;U2
2023;44;16;MRT;U2
2023;45;21;MRT;U2
2023;46;15;MRT;U2
2023;47;14;MRT;U2
2023;48;13;MRT;U2
2023;49;16;MRT;U2
2023;50;22;MRT;U2
2023;51;18;MRT;U2
2023;52;11;MRT;U2
2024;1;1;MRT;U2
2024;2;12;MRT;U2
2024;3;17;MRT;U2
2024;4;17;MRT;U2